Timestamp,"In 2021, how much money did you typically receive per hour of time spent on freelance mapmaking work?","In 2021, what was the *highest* amount a client paid per hour of your time for a freelance mapping project?","In 2021, what was the *lowest* amount a client paid per hour of your time for a freelance mapping project?",Do you feel that you are generally paid fairly for your time when doing freelance mapping?,"In 2021, how much did you depend on your freelance cartography income?","In 2021, what percentage of your personal income came from freelance mapping work?","Do you charge by the hour, or a flat rate for each project?",Do you sign a written contract before beginning a project?,How do you typically find clients?,Has the COVID-19 pandemic affected your freelancing? How?,Static Maps: Hand-Drawn,Static Maps: Digital,Interactive or Dynamic Maps: Off-the-shelf,Interactive or Dynamic Maps: Custom Coded,Have you given yourself a raise in the last two years?,"If so, how much more *per hour* do you typically earn for mapping work when compared to two years ago?","Do you have a scheme, plan or interval that determines when you give yourself a raise?",How do you determine when to raise your rate?,What gender do you identify as?,List any map-related degrees or certifications you hold (select all that apply),What's your experience level? ,Did the results from previous versions of this survey influence your business practices or rates?,"If you answered ""Yes"" above, please optionally indicate how previous surveys influenced you.",How often should we do this survey?,Please feel free to add additional notes/comments about your freelance rates and business practices.
2/18/2022 6:41:34,35,35,30,3,1,1,3,3,"Repeat business from past clients, Referrals from past clients","I joined others in “the big quit” when my employer offered an early retirement package, allowing me to focus on my freelancing work 100% starting late 2021.",,35,35,,No,,,,Female,GISP certification,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,"I’ve purposefully tried to keep my rate low so as not to scare away potential clients.  I have a feeling that many really understand the level of work involved, particularly when they are seeking out a freelancer for the first time to “just make a map”.  "
2/18/2022 6:58:56,45,60,25,4,5,95,2,3,"Advertising, Repeat business from past clients, Word of mouth between clients and their colleagues",I started freelancing during the pandemic,N/A,45,N/A,N/A,Yes,15,No,"I raised once I felt I had enough of a foothold in the market and had several prestigious, highly visible clients.",Male,"Ph.D. cartography/GIS/geography, PhD in historical geography; GIS certificate",Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
2/18/2022 10:33:09,50,50,32,4,4,80,2,4,"Referrals from other mappers, Repeat business from past clients",,50,,,,No,10,No,,Male,Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,Annually,
2/18/2022 16:22:57,80,90,70,4,5,100,2,2,"Referrals from other mappers, Repeat business from past clients, Referrals from other clients, RFPs","When it first started things slowed down, but for the past year+ it's been busier than ever.",,80,80,,Yes,20,No,"Have been trying to raise it every two years, usually start with a higher rate with new clients and then eventually raise it with existing.",Male,Post baccalaureate certificate in GIS,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,Have raised my rates to keep up with the averages from this survey,Every 2 years,"Really appreciate you doing this survey, it highlighted that my initial rate was too low. Not sure if others would find it useful, but I'd be curious on how many hours other typically spend per week doing this work, what their total annual income and expenses are, and how much of their income their putting away for retirement (if any). I'd also be curious about what others do for professional insurance."
2/18/2022 19:23:36,65,100,40,4,5,100,5,3,"Advertising, Repeat business from past clients, Cold calling / emailing, Social media","mapmaking is my only job; work slowed down for the first year and a half of the pandemic, then picked up",,65,,,Yes,30,Yes,annually,Female,Other professional certification in cartography/GIS,Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,raised my rates,Annually,
2/18/2022 22:43:47,65,65,65,4,1,5,1,5,"Repeat business from past clients, Referrals from other contacts ",,,65,,,Yes,4,Yes,Yearly ,Female,Bachelor’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),No,,Every 2 years,
2/20/2022 10:42:21,45,85,25,2,4,95,3,2,"Repeat business from past clients, Social media",I increased freelancing while also taking on more responsibility with school and life stuff in order to keep paying rent and being able to travel when I wanted. I have really only been full-time freelancing since the pandemic started though.,55,45,45,,Yes,10,No,"When I feel I'm providing more valuable work, have improved my skillset and can be a more efficient and effective cartographer.",Female,Really close to having a bachelors!,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),Yes,It's good to know the scope of what everyone is charging and see what others are doing for freelance best practices when it comes to money.,Annually,
2/21/2022 4:35:23,60,60,20,2,1,5,5,5,"Referrals from other mappers, Repeat business from past clients, Social media",no,,60,,,No,,No,,Male,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, Ph.D. cartography/GIS/geography",Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,Annually,
2/21/2022 8:06:30,10,25,8,2,3,20,4,3,"Repeat business from past clients, Cold calling / emailing",no,,10,,20,Yes,3,No,,Male,Other professional certification in cartography/GIS,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),No,,Annually,
2/22/2022 9:12:29,50,50,50,4,1,2,3,5,Referrals from other mappers,,,50,,,No,,No,,Male,Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
