Timestamp,"In the last five years, what's the highest hourly rate (in USD) you've charged a client?","In the last five years, what's the lowest hourly rate (in USD) you've charged a client?","What would you say is your current average hourly rate (again, in USD)?",Do you feel that you are generally paid fairly for your time?,"Do you usually prefer to charge by the hour, or a flat rate for each project?",Do you generally sign a contract before beginning a project?,Please feel free to add additional notes/comments here about your freelance charges.,May we share your comments when publishing the results of this survey?,"How many years have you been earning money from mapmaking, either as a freelancer or otherwise?",What gender do you identify as?,In what year were you born?,In what country do you reside?,Do you consider your cartographic freelance work to be a full-time or part-time profession?,List any map-related degrees or certifications you hold
3/2/2018 16:11:48,70,65,70,4,Hourly,Yes,"One thing I'll note is that I'd probably charge a bit more if I wasn't already mostly fully employed. My freelance work is for side projects I get offered that are interesting to me. If my employer wasn't already covering health insurance, or I needed to work with ArcGIS on consulting projects so I needed licenses, etc, I'd probably bump my charges up a bit more.  Some of that is already factored in by virtue of charging rates similar to others, but I'd modify it slightly. I feel like they're reasonable from clients' reactions, but that I could probably charge a bit more if needed.",Yes,10,Male,1987,"California, United States",Part time,"Master's degree in cartography/GIS/geography, Undergraduate minor in GIS"
3/3/2018 22:08:17,80,65,80,3,A fairly even mix of both,Yes,"The hardest thing is sticking to the rate, I do work for different industries in some cases my rate seems reasonable and other industries think its astronomical. ",Yes,10,Male,1986,United States,Part time,Bachelor's degree in cartography/GIS/geography
3/6/2018 16:17:16,100,65,75,4,A fairly even mix of both,Yes,"I quote a client for a job based on how many hours of work it should take, and try to stick to that quote.  I always have clause in the contract that extensive revision or modifications to the scope work will be billed separately at a rate of X per hour.",Yes,10,Male,1976,United States,Full time,Master's degree in cartography/GIS/geography
3/6/2018 7:21:52,100,75,88,3,Flat rate,Sometimes,,Yes,10,Male,1973,United States,Part time,"Bachelor's degree in cartography/GIS/geography, Master's degree in cartography/GIS/geography"
3/3/2018 1:07:33,65,50,60,5,Hourly,Yes,,Yes,11,Female,1978,United States,Full time,"Bachelor's degree in cartography/GIS/geography, Master's degree in cartography/GIS/geography, GISP certification, Other professional certification in cartography/GIS"
3/2/2018 13:11:23,150,70,120,3,A fairly even mix of both,Yes,,No,12,Female,1981,United States,Part time,"Bachelor's degree in cartography/GIS/geography, Master's degree in cartography/GIS/geography"
3/6/2018 17:17:29,200,80,125,4,Flat rate,Yes,,,12,Male,1980,UK,Full time,"Bachelor's degree in cartography/GIS/geography, Master's degree in cartography/GIS/geography"
3/3/2018 8:31:53,75,25,75,4,Flat rate,No,,Yes,13,Male,1977,Canada ,Part time,"Bachelor's degree in cartography/GIS/geography, Master in History"
3/5/2018 16:26:27,150,50,100,4,Flat rate,Sometimes,,Yes,13,Male,1983,United States,Part time,"Bachelor's degree in cartography/GIS/geography, Master's degree in cartography/GIS/geography, Ph.D. cartography/GIS/geography"
3/2/2018 16:56:17,90,65,75,3,Hourly,Yes,I typically end up working more hours than I charge for-- while I quote and charge an hourly rate it ends up being a flat rate because it's a rate client who will honor the terms of the contract for the hourly rate.,Yes,14,Male,1978,United States,Part time,"M.S. in Geology, which, for my generation, contains considerable mapping / cartographic component"
